"","state","gender","age","freq"
"1","Alabama","Male","Under.5",155901
"2","Alaska","Male","Under.5",27900
"3","Arizona","Male","Under.5",232450
"4","Arkansas","Male","Under.5",100520
"5","California","Male","Under.5",1300557
"6","Colorado","Male","Under.5",175053
"7","Connecticut","Male","Under.5",102464
"8","Delaware","Male","Under.5",28527
"9","District of Columbia","Male","Under.5",17665
"10","Florida","Male","Under.5",549716
"11","Georgia","Male","Under.5",349586
"12","Hawaii","Male","Under.5",45409
"13","Idaho","Male","Under.5",61130
"14","Illinois","Male","Under.5",424818
"15","Indiana","Male","Under.5",220617
"16","Iowa","Male","Under.5",101409
"17","Kansas","Male","Under.5",103058
"18","Kentucky","Male","Under.5",143611
"19","Louisiana","Male","Under.5",159558
"20","Maine","Male","Under.5",35306
"21","Maryland","Male","Under.5",186455
"22","Massachusetts","Male","Under.5",187652
"23","Michigan","Male","Under.5",303688
"24","Minnesota","Male","Under.5",180124
"25","Mississippi","Male","Under.5",106197
"26","Missouri","Male","Under.5",197129
"27","Montana","Male","Under.5",31174
"28","Nebraska","Male","Under.5",66750
"29","Nevada","Male","Under.5",95894
"30","New Hampshire","Male","Under.5",35452
"31","New Jersey","Male","Under.5",274793
"32","New Mexico","Male","Under.5",73969
"33","New York","Male","Under.5",593298
"34","North Carolina","Male","Under.5",320213
"35","North Dakota","Male","Under.5",22515
"36","Ohio","Male","Under.5",363672
"37","Oklahoma","Male","Under.5",132925
"38","Oregon","Male","Under.5",120333
"39","Pennsylvania","Male","Under.5",371351
"40","Rhode Island","Male","Under.5",29152
"41","South Carolina","Male","Under.5",152199
"42","South Dakota","Male","Under.5",30035
"43","Tennessee","Male","Under.5",207430
"44","Texas","Male","Under.5",984240
"45","Utah","Male","Under.5",133709
"46","Vermont","Male","Under.5",16351
"47","Virginia","Male","Under.5",259588
"48","Washington","Male","Under.5",224340
"49","West Virginia","Male","Under.5",53283
"50","Wisconsin","Male","Under.5",181962
"51","Wyoming","Male","Under.5",19996
