"","state","gender","age","type","freq"
"1","Alabama","Male","35.to.44","In.Armed.Forces",3912
"2","Alaska","Male","35.to.44","In.Armed.Forces",3144
"3","Arizona","Male","35.to.44","In.Armed.Forces",3211
"4","Arkansas","Male","35.to.44","In.Armed.Forces",1333
"5","California","Male","35.to.44","In.Armed.Forces",19214
"6","Colorado","Male","35.to.44","In.Armed.Forces",5020
"7","Connecticut","Male","35.to.44","In.Armed.Forces",1333
"8","Delaware","Male","35.to.44","In.Armed.Forces",668
"9","District of Columbia","Male","35.to.44","In.Armed.Forces",340
"10","Florida","Male","35.to.44","In.Armed.Forces",10381
"11","Georgia","Male","35.to.44","In.Armed.Forces",9400
"12","Hawaii","Male","35.to.44","In.Armed.Forces",6183
"13","Idaho","Male","35.to.44","In.Armed.Forces",891
"14","Illinois","Male","35.to.44","In.Armed.Forces",2672
"15","Indiana","Male","35.to.44","In.Armed.Forces",1175
"16","Iowa","Male","35.to.44","In.Armed.Forces",534
"17","Kansas","Male","35.to.44","In.Armed.Forces",3742
"18","Kentucky","Male","35.to.44","In.Armed.Forces",2794
"19","Louisiana","Male","35.to.44","In.Armed.Forces",3315
"20","Maine","Male","35.to.44","In.Armed.Forces",597
"21","Maryland","Male","35.to.44","In.Armed.Forces",6285
"22","Massachusetts","Male","35.to.44","In.Armed.Forces",1257
"23","Michigan","Male","35.to.44","In.Armed.Forces",1087
"24","Minnesota","Male","35.to.44","In.Armed.Forces",730
"25","Mississippi","Male","35.to.44","In.Armed.Forces",2214
"26","Missouri","Male","35.to.44","In.Armed.Forces",3143
"27","Montana","Male","35.to.44","In.Armed.Forces",401
"28","Nebraska","Male","35.to.44","In.Armed.Forces",1311
"29","Nevada","Male","35.to.44","In.Armed.Forces",1937
"30","New Hampshire","Male","35.to.44","In.Armed.Forces",375
"31","New Jersey","Male","35.to.44","In.Armed.Forces",2425
"32","New Mexico","Male","35.to.44","In.Armed.Forces",1772
"33","New York","Male","35.to.44","In.Armed.Forces",4054
"34","North Carolina","Male","35.to.44","In.Armed.Forces",12950
"35","North Dakota","Male","35.to.44","In.Armed.Forces",861
"36","Ohio","Male","35.to.44","In.Armed.Forces",2677
"37","Oklahoma","Male","35.to.44","In.Armed.Forces",3539
"38","Oregon","Male","35.to.44","In.Armed.Forces",675
"39","Pennsylvania","Male","35.to.44","In.Armed.Forces",2184
"40","Rhode Island","Male","35.to.44","In.Armed.Forces",790
"41","South Carolina","Male","35.to.44","In.Armed.Forces",4677
"42","South Dakota","Male","35.to.44","In.Armed.Forces",358
