"","state","level","household","education","freq"
"1","Alabama","below.poverty.level","Married.couple.family","L.than.highhool.graduate",19880
"2","Alaska","below.poverty.level","Married.couple.family","L.than.highhool.graduate",691
"3","Arizona","below.poverty.level","Married.couple.family","L.than.highhool.graduate",29969
"4","Arkansas","below.poverty.level","Married.couple.family","L.than.highhool.graduate",12142
"5","California","below.poverty.level","Married.couple.family","L.than.highhool.graduate",194590
"6","Colorado","below.poverty.level","Married.couple.family","L.than.highhool.graduate",15509
"7","Connecticut","below.poverty.level","Married.couple.family","L.than.highhool.graduate",4569
"8","Delaware","below.poverty.level","Married.couple.family","L.than.highhool.graduate",1454
"9","District of Columbia","below.poverty.level","Married.couple.family","L.than.highhool.graduate",693
"10","Florida","below.poverty.level","Married.couple.family","L.than.highhool.graduate",60753
"11","Georgia","below.poverty.level","Married.couple.family","L.than.highhool.graduate",38696
"12","Hawaii","below.poverty.level","Married.couple.family","L.than.highhool.graduate",1747
"13","Idaho","below.poverty.level","Married.couple.family","L.than.highhool.graduate",5121
"14","Illinois","below.poverty.level","Married.couple.family","L.than.highhool.graduate",33855
"15","Indiana","below.poverty.level","Married.couple.family","L.than.highhool.graduate",17950
"16","Iowa","below.poverty.level","Married.couple.family","L.than.highhool.graduate",5443
"17","Kansas","below.poverty.level","Married.couple.family","L.than.highhool.graduate",6401
"18","Kentucky","below.poverty.level","Married.couple.family","L.than.highhool.graduate",22916
"19","Louisiana","below.poverty.level","Married.couple.family","L.than.highhool.graduate",13853
"20","Maine","below.poverty.level","Married.couple.family","L.than.highhool.graduate",2203
"21","Maryland","below.poverty.level","Married.couple.family","L.than.highhool.graduate",6518
"22","Massachusetts","below.poverty.level","Married.couple.family","L.than.highhool.graduate",9640
"23","Michigan","below.poverty.level","Married.couple.family","L.than.highhool.graduate",23712
"24","Minnesota","below.poverty.level","Married.couple.family","L.than.highhool.graduate",8503
"25","Mississippi","below.poverty.level","Married.couple.family","L.than.highhool.graduate",12103
"26","Missouri","below.poverty.level","Married.couple.family","L.than.highhool.graduate",15721
"27","Montana","below.poverty.level","Married.couple.family","L.than.highhool.graduate",1805
"28","Nebraska","below.poverty.level","Married.couple.family","L.than.highhool.graduate",4360
"29","Nevada","below.poverty.level","Married.couple.family","L.than.highhool.graduate",10498
"30","New Hampshire","below.poverty.level","Married.couple.family","L.than.highhool.graduate",1250
"31","New Jersey","below.poverty.level","Married.couple.family","L.than.highhool.graduate",14132
"32","New Mexico","below.poverty.level","Married.couple.family","L.than.highhool.graduate",11869
"33","New York","below.poverty.level","Married.couple.family","L.than.highhool.graduate",61982
"34","North Carolina","below.poverty.level","Married.couple.family","L.than.highhool.graduate",37810
"35","North Dakota","below.poverty.level","Married.couple.family","L.than.highhool.graduate",1031
"36","Ohio","below.poverty.level","Married.couple.family","L.than.highhool.graduate",25294
"37","Oklahoma","below.poverty.level","Married.couple.family","L.than.highhool.graduate",13472
"38","Oregon","below.poverty.level","Married.couple.family","L.than.highhool.graduate",11473
"39","Pennsylvania","below.poverty.level","Married.couple.family","L.than.highhool.graduate",23724
"40","Rhode Island","below.poverty.level","Married.couple.family","L.than.highhool.graduate",2187
"41","South Carolina","below.poverty.level","Married.couple.family","L.than.highhool.graduate",15770
"42","South Dakota","below.poverty.level","Married.couple.family","L.than.highhool.graduate",1190
"43","Tennessee","below.poverty.level","Married.couple.family","L.than.highhool.graduate",26431
"44","Texas","below.poverty.level","Married.couple.family","L.than.highhool.graduate",165599
"45","Utah","below.poverty.level","Married.couple.family","L.than.highhool.graduate",5880
"46","Vermont","below.poverty.level","Married.couple.family","L.than.highhool.graduate",991
"47","Virginia","below.poverty.level","Married.couple.family","L.than.highhool.graduate",16250
"48","Washington","below.poverty.level","Married.couple.family","L.than.highhool.graduate",17614
"49","West Virginia","below.poverty.level","Married.couple.family","L.than.highhool.graduate",8747
"50","Wisconsin","below.poverty.level","Married.couple.family","L.than.highhool.graduate",9898
"51","Wyoming","below.poverty.level","Married.couple.family","L.than.highhool.graduate",843
"52","Puerto Rico","below.poverty.level","Married.couple.family","L.than.highhool.graduate",72124
"53","Alabama","below.poverty.level","Married.couple.family","Highhool.graduate",17605
"54","Alaska","below.poverty.level","Married.couple.family","Highhool.graduate",1164
"55","Arizona","below.poverty.level","Married.couple.family","Highhool.graduate",21603
