"","state","gender","school","age","freq"
"1","Alabama","Male","public","15.to.17",845
"2","Alaska","Male","public","15.to.17",30
"3","Arizona","Male","public","15.to.17",1283
"4","Arkansas","Male","public","15.to.17",378
"5","California","Male","public","15.to.17",10339
"6","Colorado","Male","public","15.to.17",735
"7","Connecticut","Male","public","15.to.17",554
"8","Delaware","Male","public","15.to.17",132
"9","District of Columbia","Male","public","15.to.17",44
"10","Florida","Male","public","15.to.17",2953
"11","Georgia","Male","public","15.to.17",1672
"12","Hawaii","Male","public","15.to.17",325
"13","Idaho","Male","public","15.to.17",32
"14","Illinois","Male","public","15.to.17",1630
"15","Indiana","Male","public","15.to.17",649
"16","Iowa","Male","public","15.to.17",252
"17","Kansas","Male","public","15.to.17",214
"18","Kentucky","Male","public","15.to.17",663
"19","Louisiana","Male","public","15.to.17",555
"20","Maine","Male","public","15.to.17",137
"21","Maryland","Male","public","15.to.17",1917
"22","Massachusetts","Male","public","15.to.17",664
"23","Michigan","Male","public","15.to.17",1617
"24","Minnesota","Male","public","15.to.17",422
"25","Mississippi","Male","public","15.to.17",598
"26","Missouri","Male","public","15.to.17",411
"27","Montana","Male","public","15.to.17",92
"28","Nebraska","Male","public","15.to.17",133
"29","Nevada","Male","public","15.to.17",313
"30","New Hampshire","Male","public","15.to.17",160
"31","New Jersey","Male","public","15.to.17",1142
"32","New Mexico","Male","public","15.to.17",504
"33","New York","Male","public","15.to.17",3900
"34","North Carolina","Male","public","15.to.17",1057
"35","North Dakota","Male","public","15.to.17",67
"36","Ohio","Male","public","15.to.17",1160
"37","Oklahoma","Male","public","15.to.17",304
"38","Oregon","Male","public","15.to.17",719
"39","Pennsylvania","Male","public","15.to.17",1079
"40","Rhode Island","Male","public","15.to.17",225
"41","South Carolina","Male","public","15.to.17",544
"42","South Dakota","Male","public","15.to.17",31
"43","Tennessee","Male","public","15.to.17",422
"44","Texas","Male","public","15.to.17",3178
"45","Utah","Male","public","15.to.17",270
"46","Vermont","Male","public","15.to.17",19
"47","Virginia","Male","public","15.to.17",1021
"48","Washington","Male","public","15.to.17",1145
"49","West Virginia","Male","public","15.to.17",206
"50","Wisconsin","Male","public","15.to.17",398
"51","Wyoming","Male","public","15.to.17",63
"52","Puerto Rico","Male","public","15.to.17",1094
"53","Alabama","Male","public","18.to.24",73085
"54","Alaska","Male","public","18.to.24",7852
"55","Arizona","Male","public","18.to.24",98686
"56","Arkansas","Male","public","18.to.24",41490
"57","California","Male","public","18.to.24",713506
"58","Colorado","Male","public","18.to.24",84460
"59","Connecticut","Male","public","18.to.24",45321
"60","Delaware","Male","public","18.to.24",14748
"61","District of Columbia","Male","public","18.to.24",3385
"62","Florida","Male","public","18.to.24",268659
"63","Georgia","Male","public","18.to.24",135553
"64","Hawaii","Male","public","18.to.24",17488
"65","Idaho","Male","public","18.to.24",20436
"66","Illinois","Male","public","18.to.24",184815
"67","Indiana","Male","public","18.to.24",101603
"68","Iowa","Male","public","18.to.24",50423
"69","Kansas","Male","public","18.to.24",52712
"70","Kentucky","Male","public","18.to.24",58906
"71","Louisiana","Male","public","18.to.24",66265
"72","Maine","Male","public","18.to.24",15550
"73","Maryland","Male","public","18.to.24",89653
"74","Massachusetts","Male","public","18.to.24",77747
"75","Michigan","Male","public","18.to.24",184544
"76","Minnesota","Male","public","18.to.24",78026
"77","Mississippi","Male","public","18.to.24",48338
"78","Missouri","Male","public","18.to.24",80230
"79","Montana","Male","public","18.to.24",16693
